"filename", "language", "C++", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"d:\some files\cpp\SingHttpServer\README.md", "Markdown", 0, 10, 0, 0, 0, 4, 14
"d:\some files\cpp\SingHttpServer\docs\intro.md", "Markdown", 0, 33, 0, 0, 0, 26, 59
"d:\some files\cpp\SingHttpServer\main.cpp", "C++", 7, 0, 0, 0, 0, 3, 10
"d:\some files\cpp\SingHttpServer\src\Buffer\Buffer.cpp", "C++", 47, 0, 0, 0, 23, 5, 75
"d:\some files\cpp\SingHttpServer\src\Buffer\Buffer.h", "C++", 135, 0, 0, 0, 15, 37, 187
"d:\some files\cpp\SingHttpServer\src\Epoll\Epoll.cpp", "C++", 40, 0, 0, 0, 0, 8, 48
"d:\some files\cpp\SingHttpServer\src\Epoll\Epoll.h", "C++", 29, 0, 0, 0, 0, 7, 36
"d:\some files\cpp\SingHttpServer\src\Http\HttpContext.cpp", "C++", 99, 0, 0, 0, 2, 13, 114
"d:\some files\cpp\SingHttpServer\src\Http\HttpContext.h", "C++", 45, 0, 0, 0, 8, 13, 66
"d:\some files\cpp\SingHttpServer\src\Http\HttpRequest.h", "C++", 107, 0, 0, 0, 2, 15, 124
"d:\some files\cpp\SingHttpServer\src\Http\HttpResponse.cpp", "C++", 142, 0, 0, 0, 13, 16, 171
"d:\some files\cpp\SingHttpServer\src\Http\HttpResponse.h", "C++", 57, 0, 0, 0, 1, 23, 81
"d:\some files\cpp\SingHttpServer\src\Http\HttpServer.cpp", "C++", 156, 0, 0, 0, 11, 24, 191
"d:\some files\cpp\SingHttpServer\src\Http\HttpServer.h", "C++", 34, 0, 0, 0, 0, 7, 41
"d:\some files\cpp\SingHttpServer\src\ThreadPool\ThreadPool.h", "C++", 73, 0, 0, 0, 20, 10, 103
"d:\some files\cpp\SingHttpServer\src\Timer\Timer.h", "C++", 38, 0, 0, 0, 1, 6, 45
"d:\some files\cpp\SingHttpServer\src\Timer\TimerManager.cpp", "C++", 77, 0, 0, 0, 3, 10, 90
"d:\some files\cpp\SingHttpServer\src\Timer\TimerManager.h", "C++", 30, 0, 0, 0, 12, 6, 48
"d:\some files\cpp\SingHttpServer\test\Buffer_test.cpp", "C++", 66, 0, 0, 0, 15, 13, 94
"d:\some files\cpp\SingHttpServer\test\GTestAll.cpp", "C++", 8, 0, 0, 0, 1, 0, 9
"d:\some files\cpp\SingHttpServer\test\HttpRequest_test.cpp", "C++", 60, 0, 0, 0, 0, 8, 68
"d:\some files\cpp\SingHttpServer\test\Response_test.cpp", "C++", 49, 0, 0, 0, 1, 9, 59
"d:\some files\cpp\SingHttpServer\test\Server_test.cpp", "C++", 25, 0, 0, 0, 4, 5, 34
"d:\some files\cpp\SingHttpServer\test\Threadpool_test.cpp", "C++", 37, 0, 0, 0, 0, 2, 39
"d:\some files\cpp\SingHttpServer\test\Timer_test.cpp", "C++", 49, 0, 0, 0, 0, 8, 57
"d:\some files\cpp\SingHttpServer\webapps\index.html", "HTML", 0, 0, 11, 0, 0, 1, 12
"d:\some files\cpp\SingHttpServer\webapps\kp.css", "CSS", 0, 0, 0, 22, 1, 2, 25
"d:\some files\cpp\SingHttpServer\webapps\kp.html", "HTML", 0, 0, 139, 0, 2, 26, 167
"d:\some files\cpp\SingHttpServer\webapps\video.html", "HTML", 0, 0, 15, 0, 0, 0, 15
"Total", "-", 1410, 43, 165, 22, 135, 307, 2082